id	value
808	-91777
809	-91628
810	-91480
811	-91332
812	-91184
813	-91036
814	-90889
815	-90742
816	-90596
817	-90450
818	-90304
819	-90158
820	-90013
821	-89868
822	-89724
823	-89579
824	-89435
825	-89292
826	-89148
827	-89005
828	-88862
829	-88720
830	-88577
831	-88435
832	-88294
833	-88152
834	-88011
835	-87871
836	-87730
837	-87590
838	-87450
839	-87310
840	-87171
841	-87032
842	-86893
843	-86755
844	-86616
845	-86479
846	-86341
847	-86204
848	-86066
849	-85930
850	-85793
851	-85657
852	-85521
853	-85385
854	-85250
855	-85114
856	-84980
857	-84845
858	-84710
859	-84576
860	-84443
861	-84309
862	-84176
863	-84043
864	-83910
865	-83777
866	-83645
867	-83513
868	-83381
869	-83250
870	-83118
871	-82987
872	-82857
873	-82726
874	-82596
875	-82466
876	-82336
877	-82207
878	-82078
879	-81949
880	-81820
881	-81691
882	-81563
883	-81435
884	-81307
885	-81180
886	-81053
887	-80925
888	-80799
889	-80672
890	-80546
891	-80420
892	-80294
893	-80168
894	-80043
895	-79918
896	-79793
897	-79668
898	-79544
899	-79420
900	-79296
901	-79172
902	-79048
903	-78925
904	-78802
905	-78679
906	-78557
907	-78434
908	-78312
909	-78190
910	-78068
911	-77947
912	-77826
913	-77705
914	-77584
915	-77463
916	-77343
917	-77223
918	-77103
919	-76983
920	-76864
921	-76744
922	-76625
923	-76506
924	-76388
925	-76269
926	-76151
927	-76033
928	-75915
929	-75797
930	-75680
931	-75563
932	-75446
933	-75329
934	-75213
935	-75096
936	-74980
937	-74864
938	-74748
939	-74633
940	-74517
941	-74402
942	-74287
943	-74172
944	-74058
945	-73944
946	-73829
947	-73715
948	-73602
949	-73488
950	-73375
951	-73262
952	-73149
953	-73036
954	-72923
955	-72811
956	-72699
957	-72587
958	-72475
959	-72363
960	-72252
961	-72140
962	-72029
963	-71918
964	-71808
965	-71697
966	-71587
967	-71477
968	-71367
969	-71257
970	-71147
971	-71038
972	-70929
973	-70820
974	-70711
