id	value
1433	58390
1434	58413
1435	58436
1436	58459
1437	58481
1438	58504
1439	58527
1440	58549
1441	58572
1442	58594
1443	58617
1444	58639
1445	58662
1446	58684
1447	58706
1448	58729
1449	58751
1450	58773
1451	58795
1452	58818
1453	58840
1454	58862
1455	58884
1456	58906
1457	58928
1458	58950
1459	58972
1460	58994
1461	59016
1462	59038
1463	59059
1464	59081
1465	59103
1466	59125
1467	59146
1468	59168
1469	59190
1470	59211
1471	59233
1472	59254
1473	59276
1474	59297
1475	59318
1476	59340
1477	59361
1478	59382
1479	59404
1480	59425
1481	59446
1482	59467
1483	59488
1484	59509
1485	59530
1486	59551
1487	59572
1488	59593
1489	59614
1490	59635
1491	59656
1492	59677
1493	59697
1494	59718
1495	59739
1496	59759
1497	59780
1498	59801
1499	59821
1500	59842
1501	59862
1502	59883
1503	59903
1504	59923
1505	59944
1506	59964
1507	59984
1508	60004
1509	60025
1510	60045
1511	60065
1512	60085
1513	60105
1514	60125
1515	60145
1516	60165
1517	60185
1518	60205
1519	60225
1520	60244
1521	60264
1522	60284
1523	60304
1524	60323
1525	60343
1526	60363
1527	60382
1528	60402
1529	60421
1530	60441
1531	60460
1532	60479
1533	60499
1534	60518
1535	60537
1536	60556
1537	60576
1538	60595
1539	60614
1540	60633
1541	60652
1542	60671
1543	60690
1544	60709
1545	60728
1546	60747
1547	60766
1548	60785
1549	60803
1550	60822
1551	60841
1552	60859
1553	60878
1554	60897
1555	60915
1556	60934
1557	60952
1558	60971
1559	60989
1560	61007
1561	61026
1562	61044
1563	61062
1564	61081
1565	61099
1566	61117
1567	61135
1568	61153
1569	61171
1570	61189
1571	61207
1572	61225
1573	61243
1574	61261
1575	61279
1576	61297
1577	61314
1578	61332
1579	61350
1580	61367
1581	61385
1582	61403
1583	61420
1584	61438
1585	61455
1586	61473
1587	61490
1588	61507
1589	61525
1590	61542
1591	61559
1592	61577
1593	61594
1594	61611
1595	61628
1596	61645
1597	61662
1598	61679
1599	61696
1600	61713
1601	61730
1602	61747
1603	61764
1604	61780
1605	61797
1606	61814
1607	61831
1608	61847
1609	61864
1610	61880
1611	61897
1612	61913
1613	61930
1614	61946
1615	61963
1616	61979
1617	61995
1618	62012
1619	62028
1620	62044
1621	62060
1622	62076
1623	62092
1624	62108
1625	62125
1626	62141
1627	62156
1628	62172
1629	62188
1630	62204
1631	62220
1632	62236
1633	62251
1634	62267
1635	62283
1636	62298
1637	62314
1638	62329
1639	62345
1640	62360
1641	62376
1642	62391
1643	62407
1644	62422
1645	62437
1646	62453
1647	62468
1648	62483
1649	62498
1650	62513
1651	62528
1652	62543
1653	62558
1654	62573
1655	62588
1656	62603
1657	62618
1658	62633
1659	62648
1660	62662
1661	62677
1662	62692
1663	62706
1664	62721
1665	62735
1666	62750
1667	62764
1668	62779
1669	62793
1670	62808
1671	62822
1672	62836
1673	62850
1674	62865
1675	62879
1676	62893
1677	62907
1678	62921
1679	62935
1680	62949
1681	62963
1682	62977
1683	62991
1684	63005
1685	63019
1686	63032
1687	63046
1688	63060
1689	63074
1690	63087
1691	63101
1692	63114
1693	63128
1694	63141
1695	63155
1696	63168
1697	63182
1698	63195
1699	63208
1700	63221
1701	63235
1702	63248
1703	63261
1704	63274
1705	63287
1706	63300
1707	63313
1708	63326
1709	63339
1710	63352
1711	63365
1712	63378
1713	63390
1714	63403
1715	63416
1716	63429
1717	63441
1718	63454
1719	63466
1720	63479
1721	63491
1722	63504
1723	63516
1724	63528
1725	63541
1726	63553
1727	63565
1728	63578
1729	63590
1730	63602
1731	63614
1732	63626
1733	63638
1734	63650
1735	63662
1736	63674
1737	63686
1738	63698
1739	63709
1740	63721
1741	63733
1742	63745
1743	63756
1744	63768
1745	63779
1746	63791
1747	63803
1748	63814
1749	63825
1750	63837
1751	63848
1752	63859
1753	63871
1754	63882
1755	63893
1756	63904
1757	63915
1758	63927
1759	63938
1760	63949
1761	63960
1762	63971
1763	63981
1764	63992
1765	64003
1766	64014
1767	64025
